property_type,location,price,features
Luxurious Mini Flat Apartment Furnished,"22 Park West Estate Lagos Business School, Ajah, Lagos","750,000 per annum",1 Bedroom2 Bathrooms2 Toilets7 Parking Spaces Save
Brand New Luxury 2bedroom Apartment,"23 Adeboye Street Ajah Lekki Lagos, Ajah, Lagos","1,200,000 per annum",2 Bedrooms3 Bathrooms3 Toilets23 Parking Spaces Save
"Newly Renovated 3 Bedrooms Flat, Upstairs","Martin Street Off Olufemi Street, Ogunlana, Surulere, Lagos","1,300,000 per annum",3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
Well Maintained 3 Bedroom Flat,"Off Toyin Street, Allen, Ikeja, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save
New 3 Bedroom Flat,"Omole Phase 2, Ikeja, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom,"Carter Street Ebutta Metta., Adekunle, Yaba, Lagos","2,000,000 per annum",3 Bedrooms4 Toilets23 Parking Spaces Save
An Executive Brand Newly Built Room Self Contained,"Off Commercial Avenue Sabo, Onike, Yaba, Lagos","550,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Newly Built 2 Bedroom At A Secured And Serene Environment,"Manthana Ipaja Road Ipaja, Ayobo, Lagos","500,000 per annum",2 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save
Luxury Mini Flat,"Blenco, Sangotedo, Ajah, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets8 Parking Spaces Save
Luxurious Newly Built Upstairs 2 Bedroom Flat,"Desa Community, Onosa, Ibeju Lekki, Lagos","400,000 per annum",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
Luxury And Very Spacious Studio Apartment,"Lekki Phase 1, Lekki, Lagos","1,300,000 per annum",1 Bedroom Save
3 Bedroom Apartments Ideal For A Coporate Tenant,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Beautiful 3 Bedroom Flat With Bq.,"Ikate, Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
3 Bedroom Apartments.,"Victoria Island (VI), Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built 3 Bedroom Flat.,"Ologolo, Lekki, Lagos","2,700,000 per annum",3 Bedrooms3 Bathrooms5 Toilets3 Parking Spaces Save
Very Spacious Mini Flat,"Agungi, Lekki, Lagos","1,200,000 per annum",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
3 Bedrooms Apartment,"Old Ikoyi, Ikoyi, Lagos","12,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Good And Nice 2 Bedroom Flat With All Rooms Ensuit.,"Bode Thomas, Surulere, Lagos","1,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Luxury Mini Flat,"Ikota Bridge, Ikota, Lekki, Lagos","800,000 per annum",1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save
2 Bedroom Flat All Room Ensuit With A Guest Toilet.,"Gra Phase 2, GRA, Magodo, Lagos","1,800,000 per annum",2 Bedrooms3 Bathrooms3 Toilets4 Parking Spaces Save
2 Bedroom Flat All Room Ensuit With A Guest Toilet,"Gra, Omole Phase 2, Ikeja, Lagos","1,500,000 per annum",2 Bedrooms3 Bathrooms3 Toilets4 Parking Spaces Save
A Lovely Well Furnished Room Self Contained.,"St Finbarrs Road., Akoka, Yaba, Lagos","500,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
3 Bedroom Luxury Apartments.,"Victoria Island (VI), Lagos","14,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Luxury Apartments Ideal For A Coporate Tenant,"Old Ikoyi, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
4 Bedroom Luxury Apartment.,"Old Ikoyi, Ikoyi, Lagos","12,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
2 Bedroom Luxury Apartments Ideal For A Coporate Tenant,"Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
2 Bedroom Luxury Waterfront Apartments,"Victoria Island (VI), Lagos","10,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
3 Bedroom Luxury Waterfront Apartments,"Victoria Island (VI), Lagos","13,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Luxury Apartment,"Victoria Island (VI), Lagos","16,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
4 Bedroom Luxury Apartment,"Victoria Island (VI), Lagos","17,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
3 Bedroom Luxury Apartment.,"Old Ikoyi, Ikoyi, Lagos","9,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
4 Bedrooms Apartment,"Old Ikoyi, Ikoyi, Lagos","12,500,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
4 Bedrooms Waterfront Apartment,"Banana Island, Ikoyi, Lagos","21,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
2 Bedrooms Flat,"Medina Estate, Medina, Gbagada, Lagos","800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Clean 3 Bedrooms Flat,"Within Blenco Supermarket Before Shoprite, Sangotedo, Ajah, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save
Water View Luxury 2 Bedrooms Apartment,"Lekki Phase 1, Lekki, Lagos","8,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Lovely Good 3 Bedrooms Flat With Car Park.,"Off Akerele, Ogunlana, Surulere, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Newly Built 3 Bedroom Flat All Round Tiles,"Ayetoro Itele, Ipaja, Lagos","250,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
Spacious Brand New 3 Bedroom Flat,"Sangotedo, Ajah, Lagos","1,400,000 per annum",3 Bedrooms4 Bathrooms4 Toilets10 Parking Spaces Save
Tastefully Finished 3 Bedroom Flat,"Oniru Victoria Island Lagos, Oniru, Victoria Island (VI), Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom Apartment With 24hrs Power,"Off Oba Palace Road, Oniru, Victoria Island (VI), Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedroom Flat All Room Ensuit With A Guest Toilet,"Phase 1, GRA, Magodo, Lagos","1,300,000 per annum",2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save
A Lovely And Nice Well Finished Room Self Contained,"Abule Oja, Abule Oja, Yaba, Lagos","600,000 per annum",1 Bathroom1 Toilet1 Parking Space650 sqm Total Area Save
Lovely Built 3 Bedroom Flat In A Serene And Secured Environment,"After Jakande Round About, Ologolo, Lekki, Lagos","2,650,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat All Room Ensuit With A Guest Toilet,"GRA, Magodo, Lagos","1,600,000 per annum",3 Bedrooms4 Bathrooms4 Toilets5 Parking Spaces Save
Luxury Mini Flat,"Aptech Estate, Sangotedo, Ajah, Lagos","650,000 per annum",1 Bedroom1 Bathroom2 Toilets8 Parking Spaces Save
Luxury 3 Bedroom Flat With Bq,"Off Palace Road, Oniru, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
"3 Bedroom Flat, All Ensuite,","Garden Valley, GRA, Ogudu, Lagos","1,900,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Room Self Contain,"Ogba, Ikeja, Lagos","220,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
A Lovely And Nice Newly Built Serviced Mini Flat,"Off Babs Animashaun, Bode Thomas, Surulere, Lagos","650,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Lovely 2 Bedroom Flat In A Secured And Gated Neighbourhood,"Ikate, Lekki, Lagos","1,800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Luxurious Newly Built 3 Bedroom Flat,"Divine Home Thomas Estate Ajah Lekki Lagos, Ajiwe, Ajah, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
Available Self Contained Apartment,"Omole Phase 1, Ikeja, Lagos","800,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
2 Bedrooms Flat,"Badore, Ajah, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Two-bedroom Flats,"Eputu, Ibeju Lekki, Lagos","650,000 per annum",2 Bedrooms2 Bathrooms1 Toilet5 Parking Spaces Save
Brand New Stylishly Built 3 Bedroom Luxurious Apartment + Bq,"Tantalizer, Admiralty Road, Lekki Phase 1, Lekki, Lagos","5,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
Sevice Clean 3 Bedroom Flat.,"Around Blenco Supermarket., Sangotedo, Ajah, Lagos","1,300,000 per annum",3 Bedrooms4 Bathrooms4 Toilets10 Parking Spaces Save
2 Bedroom Service Apartment,"No 1 Tourism Road Off Alpha Beach Before Chevron Round About, Igbo Efon, Lekki, Lagos","1,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Room Self Contained In A Shared Apartment,"Very Close To Ado Roundabout, Badore, Ajah, Lagos","180,000 per annum",1 Bathroom1 Toilet2 Parking Spaces Save
Nice And Standard Newly Built Self Contained,"Agungi, Lekki, Lagos","700,000 per annum",1 Bedroom Save
Nice And Standard Newly Built Self Contained,"Agungi, Lekki, Lagos","900,000 per annum",1 Bedroom Save
Lovely 3 Bedroom Flat,"Akeju Road, Soluyi, Gbagada, Lagos","1,650,000 per annum",3 Bedrooms Save
Newly Built 3 Bedroom Flat,"Chevyview Estate, Lekki Phase 2, Lekki, Lagos","2,300,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 2 Bedroom Apartments With Breathtaking Views,"Victoria Island (VI), Lagos","61,000 per annum 
approx. ₦24,355,011",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxury 3 Bedrooms Apartment,"Victoria Island (VI), Lagos","82,000 per annum 
approx. ₦32,739,523",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 1 Bedroom Apartments With Breathtaking Views.,"Victoria Island (VI), Lagos","36,000 per annum 
approx. ₦14,373,449",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
Tastefully Finished 3 Bedroom Luxury Apartments With 2 Maids Room,"Old Ikoyi, Ikoyi, Lagos","9,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
3 Bedroom Luxury Apartments Ideal For A Coporate Tenant,"Old Ikoyi, Ikoyi, Lagos","9,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Tastefully Finished 3 Bedrooms Luxury Apartments With Maids Room,"Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedrooms Apartment,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
4 Bedroom Apartments,"Old Ikoyi, Ikoyi, Lagos","18,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
Luxury 4 Bedroom Apartments With Excellent Facilities,"Ikoyi, Lagos","60,000 per annum 
approx. ₦23,955,749",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
4 Bedrooms Luxury Apartment Ideal For A Coporate Tenant.,"Old Ikoyi, Ikoyi, Lagos","10,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
3 Bedrooms Apartment With Ample Parking Space,"Lekki Phase 1, Lekki, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedrooms Serviced Apartment With Maid's Room,"Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms4 Bathrooms3 Toilets2 Parking Spaces Save
"Spacious 3 Bedroom Flat, Ground Floor With Necessary Facilities","Off Abiodun Kuye Road, New Oko Oba, Abule Egba, Agege, Lagos","600,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
Luxurious 3 Bedrooms Flat,"Macdonald, Osborne, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
Luxury Finished Serviced (12units) Of 2bedroom Flat All Rms En Suite,"By Novare Mall Shoprite Sangotedo, Sangotedo, Ajah, Lagos","650,000 per annum",2 Bedrooms2 Bathrooms2 Toilets3 Parking Spaces Save
16 Units Of 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat All Room Ensuit With A Guest Toilet,"Obafemi Omowaye, Phase 1, GRA, Magodo, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
Mini Flat,"Gra, Omole Phase 2, Ikeja, Lagos","700,000 per annum",1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save
3 Bedroom Apartment With Maid Room,"Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Room Self Contain,"Agungi, Lekki, Lagos","1,000,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
A Room Self Contain,"Agungi, Lekki, Lagos","900,000 per annum",1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save
Brand New 20 Units Of Luxury 3 Bedroom Flats,"Ikeja GRA, Ikeja, Lagos","8,000,000 per annum",3 Bedrooms Save
3 Bedroom Flat,"Ocean Bay Estate, Lafiaji, Lekki, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Nice And Standard Self Contained.,"Chevron., Lekki Expressway, Lekki, Lagos","1,000,000 per annum",1 Bedroom Save
"Sweet Juicy 2 Bedrooms Flat, Upstairs","Oko-ado, Before Sangotedo, Olokonla, Ajah, Lagos","950,000 per annum",2 Bedrooms2 Bathrooms3 Toilets9 Parking Spaces Save
Tasteful And Spacious 3 Bedroom Flat,"Badore, Ajah, Lagos","800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
"A Newly Spacious 2 Bedrooms Flat With Pop, Tiles, Wardrobe, Kitchen","Eharoro Estate, Ogba, Ikeja, Lagos","800,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
Executive Mini Flat,"Off Allen Avenue, Ikeja, Lagos","850,000 per annum",1 Bedroom2 Bathrooms2 Toilets4 Parking Spaces Save
Three Bedrooms Flat,"Ekundayo Street, Offin Oreta, Igbogbo, Ikorodu, Lagos","350,000 per annum",3 Bedrooms Save
Super 2 Bedrooms,"Owodele Close, Off Ishaga Road, Ojuelegba, Surulere, Lagos","600,000 per annum",2 Bedrooms1 Bathroom1 Toilet1 Parking Space Save
"Luxurious 2 Bedrooms Flat, Upstairs","Behind Elevation Church, Lekki Phase 1, Lekki, Lagos","1,300,000 per annum",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
New Mini Flat,"Thera Annex, Sangotedo, Ajah, Lagos","600,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
"2 Bedrooms, Very Spacious And Luxurious","House On The Rock Church Drive, Off Kusenla Way, Ikate, Lekki, Lagos","2,200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Newly Blult 3 Bedroom Flat In Quite And Serene Environment,"Ikeja GRA, Ikeja, Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets30 Parking Spaces Save
Relatively New 6 Nos. 3 Bedrooms Flat,"Off Allen Avenue, Ikeja, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets15 Parking Spaces Save
Corporate Furnished Mini Flats,"Fani Kayode, Ikeja GRA, Ikeja, Lagos","3,000,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Furnished 2 Bedroom Maisonette Flat,"1004 Estate, Victoria Island (VI), Lagos","3,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
3 Bedrooms Flat,"Cmd Road, Beside Firstbank, Magodo, Lagos","1,700,000 per annum",3 Bedrooms4 Bathrooms3 Toilets8 Parking Spaces Save
Luxury Mini Apartments,"Oluwanishilola Estate, VGC, Lekki, Lagos","1,000,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
3 Bedroom Luxurious Flat,"4. Fanikayode, Ikeja GRA, Ikeja, Lagos","5,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets Save
16units Tastefully Finished Apartments For Corporate Clients.,"Ajao Estate, Anthony, Maryland, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
4 (nos) 4 Bedrooms Flat Ideal For A Coporate Tenant,"Banana Island, Ikoyi, Lagos","8,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
8 (nos) 3 Bedroom Flats Ideal For A Coporate Tenant,"Banana Island, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save
3 Bedroom Luxury Apartments With Excellent Facillities,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Apartments With Views Of The Lagoon And Major Landmarks.,"Victoria Island (VI), Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Tastefully Finished 3 Bedroom Luxury Apartments With 2 Maids Room,"Banana Island, Ikoyi, Lagos","14,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedrooms Flat With Maids Room,"Eko Atlantic City, Lagos","35,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 1 Bedroom Apartment With Breathtaking Views,"Victoria Island (VI), Lagos","36,000 per annum 
approx. ₦14,373,449",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Brand New 2 Bedrooms Flat,"Thera Peace Zone Estate, Before Shoprite, Sangotedo, Ajah, Lagos","1,000,000 per annum",2 Bedrooms3 Bathrooms3 Toilets Save
Standard Mini Flat (room And Parlour),"Epe, Lagos","200,000 per annum",1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save
3 Bedrooms Luxury Apartment,"Banana Island, Ikoyi, Lagos","14,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Room Self Contained,"Chevron, Lekki Expressway, Lekki, Lagos","1,100,000 per annum",1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save
A Mini Flat,"Chevron, Lekki Expressway, Lekki, Lagos","1,400,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
New Mini Flat,"Ikorodu, Lagos","150,000 per annum",1 Bedroom1 Toilet Save
Nice And Standard Self Contained.,"Chevron Drive Estate., Lekki Expressway, Lekki, Lagos","600,000 per annum",1 Bedroom Save
Nice And Standard Self Contained.,"Nice Estate Chevy View., Lekki Expressway, Lekki, Lagos","700,000 per annum",1 Bedroom Save
Nice And Standard Self Contained.,"Nice Estate Chevron Drive., Lekki Expressway, Lekki, Lagos","950,000 per annum",1 Bedroom Save
Nice And Standard Mini Flat.,"Nice Estate Chevron, Lekki Expressway, Lekki, Lagos","1,500,000 per annum",1 Bedroom Save
Fully Furnished And Serviced 1 Bedroom Apartment,"Ikoyi, Lagos","5,500,000 per annum",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
Standard Mini-flat,"Garden Valley, GRA, Ogudu, Lagos","800,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Furnished 1 Bedroom Apartment ( Mini Flat),"Momodu Lawal Crescent Off Chief Collins, Lekki Phase 1, Lekki, Lagos","2,000,000 per annum",1 Bedroom1 Bathroom2 Toilets5 Parking Spaces Save
A Room Self Contained,"Osapa Extension/ Agungi, Lekki Expressway, Lekki, Lagos","350,000 per annum",1 Bathroom1 Toilet12 Parking Spaces600 sqm Total Area Save
Luxurious Room And Parlour Self Contained,"Gbetu Behind Mayfair Garden Estate., Awoyaya, Ibeju Lekki, Lagos","350,000 per annum",1 Bedroom1 Bathroom2 Toilets6 Parking Spaces Save
Serviced 3 Bedroom Flats Code Commlag,"Ihuntayi Street, Oniru, Oniru, Victoria Island (VI), Lagos","4,000,000 per annum",3 Bedrooms Save
Nice 3 Bedroom Flat.,"Ikorodu, Lagos","350,000 per annum",3 Bedrooms4 Toilets Save
Well Finished 2 Bedroom Flat,"Agungi, Lekki, Lagos","1,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Very Decent And Good Room Self Contained.,"Nnobi Street, Kilo, Surulere, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet650 sqm Total Area Save
1 Bedroom Mini Flat.,"Parkview, Ikoyi, Lagos","1,000,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
3 Bedroom Flat,"Ocean Parade Banana Island Benevista, Ikoyi, Lagos","14,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
A 2 Bedroom Flat Ground Floor,"Adisa Bashua Street., Adelabu, Surulere, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
A Room Self Contained,"Agungi, Lekki Expressway, Lekki, Lagos","650,000 per annum",1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save
Lovely Built 2 Bedroom Ensuite,"10, Vera Dureke Drive, Opic, GRA, Isheri North, Lagos","650,000 per annum",2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save
Brand New Spacious And Well Finished 3 Bedroom Flat,"Ilaje, Ajah, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
A Room Self Contained,"Chevron Estate, Lekki Expressway, Lekki, Lagos","1,200,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
A Room Self Contained,"Chevron, Lekki Expressway, Lekki, Lagos","1,250,000 per annum",1 Bathroom1 Toilet6 Parking Spaces600 sqm Total Area Save
4 Bedroom Flat,"Off Ijesha Road, Ijesha, Surulere, Lagos","800,000 per annum",4 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
A Lovely And Nice Newly Built 2 Bedroom Flat With Pop,"Makurdi Street Off Park Road, Costain, Yaba, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
A Very Lovely & Fully Serviced Mini Flat,"Off Herbert Macaulay Way, Alagomeji, Yaba, Lagos","1,500,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
A Luxury Fully Serviced 3 Bedroom Flat With A Furnished Bq,"Behind Ozone Centre, Sabo, Yaba, Lagos","2,700,000 per annum","3 Bedrooms3 Bathrooms4 Toilets1,500 sqm Total Area Save"
Renovated 3 Bedroom Flat 2 Tenants In Compound,"Amule Ipaja, Ayobo, Lagos","300,000 per annum",3 Bedrooms3 Bathrooms3 Toilets7 Parking Spaces Save
A Decent Mini Flat,"Gbagada Phase 2, Gbagada, Lagos","600,000 per annum",1 Bedroom2 Bathrooms2 Toilets4 Parking Spaces Save
Room And Parlour Self Contained,"Odunlami Street, Isawo, Ikorodu, Lagos","160,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
Nicely Furnished 3 Bedroom Apartment,"1004 Estate, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Lovely 2 Bedroom Flat,"Banjoko Ogidi Estate Gnity, Ikorodu, Lagos","300,000 per annum",2 Bedrooms3 Toilets Save
